NUMBER,LOCALITY,Dept/State,Country,Long,Lat,POP,Biome,Long_POP,Lat_POP,LB,LT,LH,LE,LM,BM1,LIF,BIF,BIT,BP,LN,BN,LIB,BB,BZP,DI,BOC,LPB,BOF,BR,BI,LI,BBU,LBB,CZL,LogLM,LogBM1,LogLIF,LogBIF,LogBIT,LogBP,LogLN,LogBN,LogLIB,LogBB,LogBZP,LogDI,LogBOC,LogLPB,LogBOF,LogBR,LogBI,LogLI,LogBBU,LogLBB,LogCZL
MACN 18661,Delta I.N.T.A,Buenos Aires,Argentina,-58.7905006,-33.7895012,ARG,PA,-58.66,-34.57,165,150,43,21,7.53,2.25,6.74,2.6,3.17,7.84,13.61,4.01,4.71,16.75,4.33,2.34,9.35,9.31,8.13,4.84,11.24,2.65,6.21,14.05,27.83,0.876794976,0.352182518,0.828659897,0.414973348,0.501059262,0.894316063,1.133858125,0.603144373,0.673020907,1.224014811,0.636487896,0.369215857,0.970811611,0.968949681,0.910090546,0.684845362,1.050766311,0.423245874,0.7930916,1.147676324,1.444513206
MACN 5386,Zelaya,Buenos Aires,Argentina,-58.871094,-34.370141,ARG,PA,-58.66,-34.57,,185,51,21,7.76,2.42,7.77,2.43,3.59,8.44,15,3.79,4.66,17.39,5.33,2.83,8.88,9.68,10.13,5.72,10.61,2.43,5.92,15.81,29.43,0.889861721,0.383815366,0.890421019,0.385606274,0.555094449,0.926342447,1.176091259,0.57863921,0.668385917,1.240299582,0.726727209,0.451786436,0.948412966,0.985875357,1.005609445,0.757396029,1.025715384,0.385606274,0.772321707,1.19893187,1.468790262
MACN 18601,"Parque Nacional El Palmar, Entre Rios",Entre Rios,Argentina,-58.2218742,-31.8609115,ARG,PA,-58.66,-34.57,,122.18,45.22,18.38,7.45,2.4,7.2,2.94,3.15,8.36,13.66,3.56,4.87,16.56,4.96,2.36,8.7,9.26,8.42,5.04,10.61,2.09,5.3,14.51,27.28,0.872156273,0.380211242,0.857332496,0.46834733,0.498310554,0.922206277,1.135450699,0.551449998,0.687528961,1.219060332,0.695481676,0.372912003,0.939519253,0.966610987,0.925312091,0.702430536,1.025715384,0.320146286,0.72427587,1.161667412,1.435844366
UMMZ 166268,"6 KM S (BY ROAD) OF PUERTO IBICUY, 33 DEG 47' S, 59 DEG 10' W",Entre Rios,Argentina,-59.16667,-33.78333,ARG,PA,-58.66,-34.57,,,,,7.71,2.47,8.74,2.51,3.78,10.43,16.06,3.55,4.75,16.68,5.27,2.55,8.85,9.78,9.82,5.42,11.85,2.54,6.46,16.68,32.57,0.887054378,0.392696953,0.941511433,0.399673721,0.5774918,1.018284308,1.205745541,0.550228353,0.67669361,1.222196046,0.721810615,0.40654018,0.946943271,0.990338855,0.992111488,0.733999287,1.07371835,0.404833717,0.810232518,1.222196046,1.512817759
UMMZ 166395,"6 KM S (BY ROAD) OF PUERTO IBICUY, 33 DEG 47' S, 59 DEG 10' W",Entre Rios,Argentina,-59.16667,-33.78333,ARG,PA,-58.66,-34.57,,,,,7.54,2.53,8.61,2.76,3.63,8.87,15.28,3.47,5.03,16.07,4.95,2.47,8.93,9.23,8.97,5.53,12.34,2.92,5.35,15.22,29.71,0.877371346,0.403120521,0.935003151,0.440909082,0.559906625,0.94792362,1.184123354,0.540329475,0.701567985,1.206015877,0.694605199,0.392696953,0.950851459,0.965201701,0.952792443,0.742725131,1.09131516,0.465382851,0.728353782,1.182414652,1.472902652
BMNH 1888.11.30.9,Lagoa dos Patos,Rio Grande do Sul,Brasil,-54.6,-30.99,RS-UR,PA,-54.86,-32.68,,,,,7.81,2.51,8.34,2.46,4.02,8.79,16.69,4.17,5.15,16.85,5.87,2.33,8.63,9.74,11.55,5.59,11.72,2.76,7.33,15.87,31.12,0.892651034,0.399673721,0.921166051,0.390935107,0.604226053,0.943988875,1.222456337,0.620136055,0.711807229,1.226599905,0.768638101,0.367355921,0.936010796,0.988558957,1.062581984,0.747411808,1.068927612,0.440909082,0.865103975,1.200576927,1.493039588
MNHN 722,"Ba_ado Tropa vieja, Atl_ntida, Canelones",,,-55.75,-34.73,RS-UR,PA,-54.86,-32.68,,,,,8.26,2.46,9.43,3.73,3.95,8.2,18.7,5.03,5.09,17.88,5.63,2.64,9.03,10.12,10.64,6.4,11.32,3.18,5.98,15.94,32.48,0.916980047,0.390935107,0.974511693,0.571708832,0.596597096,0.913813852,1.271841607,0.701567985,0.706717782,1.252367514,0.750508395,0.421603927,0.95568775,1.005180513,1.026941628,0.806179974,1.053846427,0.50242712,0.776701184,1.202488317,1.511616021
MNHN 725,"Ba_ado Tropa vieja, Atl_ntida, Canelones",,,-55.75,-34.73,RS-UR,PA,-54.86,-32.68,,213,52,20,7.67,2.62,8.15,3.03,4.26,9.09,17.3,4.04,4.98,17.26,5.57,2.78,9.16,11.36,9.48,5.38,12.4,2.99,5.95,16.22,32.04,0.884795364,0.418301291,0.911157609,0.481442629,0.629409599,0.958563883,1.238046103,0.606381365,0.697229343,1.237040791,0.745855195,0.444044796,0.961895474,1.055378331,0.976808337,0.730782276,1.093421685,0.475671188,0.774516966,1.21005085,1.505692507
MNHN 743,"Ba_ado Tropa vieja, Atl_ntida, Canelones",,,-55.75,-34.73,RS-UR,PA,-54.86,-32.68,,207,52,21,7.99,2.66,8.44,2.78,4.03,9.02,17.05,3.72,5.28,16.58,5.8,3,8.87,10.46,9.34,5.59,10.86,3.09,6.5,15.97,31.28,0.902546779,0.424881637,0.926342447,0.444044796,0.605305046,0.955206538,1.231724383,0.57054294,0.722633923,1.219584526,0.763427994,0.477121255,0.94792362,1.019531685,0.970346876,0.747411808,1.035829825,0.489958479,0.812913357,1.203304916,1.495266744
MNHN 1032,"Ba_ado Tropa vieja, Atl_ntida, Canelones",,,-55.75,-34.73,RS-UR,PA,-54.86,-32.68,218,212,56,21,8.13,2.58,8.22,2.67,4.39,9.45,16,3.43,4.14,16.9,6.49,3.01,9.32,11.31,10.03,5.5,11.19,3.14,6.47,16.59,33.07,0.910090546,0.411619706,0.914871818,0.426511261,0.64246452,0.975431809,1.204119983,0.53529412,0.617000341,1.227886705,0.812244697,0.478566496,0.969415912,1.053462605,1.001300933,0.740362689,1.048830087,0.496929648,0.810904281,1.219846386,1.519434195
MNHN 1036,"Ba_ado Tropa vieja, Atl_ntida, Canelones",,,-55.75,-34.73,RS-UR,PA,-54.86,-32.68,,,,,7.78,2.69,7.69,2.67,4,9.22,16.24,4.18,4.69,17.42,6.34,2.74,9.11,11.29,10.02,5.06,11.71,3.32,6.39,14.93,31.32,0.890979597,0.42975228,0.88592634,0.426511261,0.602059991,0.964730921,1.210586025,0.621176282,0.671172843,1.241048151,0.802089258,0.437750563,0.959518377,1.052693942,1.000867722,0.704150517,1.068556895,0.521138084,0.805500858,1.174059808,1.495821753
MNHN 1051,"Ba_ado Tropa vieja, Atl_ntida, Canelones",,,-55.75,-34.73,RS-UR,PA,-54.86,-32.68,197,190,48,22,8.05,2.57,7.98,2.75,4.31,8.75,15.28,4,5.26,17.17,5.27,2.68,8.56,10.41,9.14,5.39,12.91,3.09,6.21,15.98,29.55,0.90579588,0.409933123,0.902002891,0.439332694,0.63447727,0.942008053,1.184123354,0.602059991,0.720985744,1.234770295,0.721810615,0.428134794,0.932473765,1.01745073,0.960946196,0.731588765,1.110926242,0.489958479,0.7930916,1.203576775,1.470557485
MNHN 1413,"Ba_ado Tropa vieja, Atl_ntida, Canelones",,,-55.75,-34.73,RS-UR,PA,-54.86,-32.68,216,212,51,20,7.87,2.38,8.34,2.88,4.18,9.1,16.13,4.02,4.43,16.85,6.08,2.84,8.87,10.49,9.29,5.46,12.2,2.72,6.53,15.97,31.74,0.895974732,0.376576957,0.921166051,0.459392488,0.621176282,0.959041392,1.207634367,0.604226053,0.646403726,1.226599905,0.783903579,0.45331834,0.94792362,1.020775488,0.968015714,0.737192643,1.086359831,0.434568904,0.814913181,1.203304916,1.501606922
MNHN 838,Arrocera San Pedro (San Gregorio),Artigas,,-57.85,-30.55,RS-UR,PA,-54.86,-32.68,,195,49,21,7.48,2.21,7.74,2.29,3.1,7.97,13.39,3.39,4.66,16.52,4.8,2.29,8.82,8.72,8.23,5.02,10.35,2.34,6.38,14.92,27.56,0.873901598,0.344392274,0.888740961,0.359835482,0.491361694,0.901458321,1.126780577,0.530199698,0.668385917,1.218010043,0.681241237,0.359835482,0.945468585,0.940516485,0.915399835,0.700703717,1.01494035,0.369215857,0.804820679,1.173768823,1.440279213
MNHN 1415,"Escuela Concordia, ",Soriano,,-58.42,-33.56,RS-UR,PA,-54.86,-32.68,172,197,49,23,8.07,2.48,7.54,2.62,3.89,8.73,14.67,3.26,4.31,16.49,5.84,2.58,9.4,10.03,9.24,5.05,10.31,2.62,5.76,14.61,29.27,0.906873535,0.394451681,0.877371346,0.418301291,0.589949601,0.941014244,1.166430114,0.5132176,0.63447727,1.217220656,0.766412847,0.411619706,0.973127854,1.001300933,0.965671971,0.703291378,1.013258665,0.418301291,0.760422483,1.164650216,1.466422722
MNHN 1424,"Escuela Concordia, ",Soriano,,-58.42,-33.56,RS-UR,PA,-54.86,-32.68,210,230,52,26.5,7.95,2.57,8.19,2.75,4.84,9.31,16.8,4.51,5.21,18.51,5.7,3.15,9.64,11.31,10.67,5.6,12.62,3.04,6.92,16.54,32.62,0.900367129,0.409933123,0.913283902,0.439332694,0.684845362,0.968949681,1.225309282,0.654176542,0.716837723,1.267406419,0.755874856,0.498310554,0.984077034,1.053462605,1.028164419,0.748188027,1.101059355,0.482873584,0.840106094,1.218535505,1.513483957
